Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m_y,River_Status_y,Area_sq_km_y,Sanitation_Index_y,Malaria_cases,AD_cases,Typhoid_cases,Flood_Inundation,Mean_NDVI,Stagnant_Water
2024,Awaran,19,,,,0.0,500.0,0.0,29510.0,0.2,91,61,0,0.3310086977916791,0.0497898719805624,0.1966865070905268
2024,Barkhan,19,0.0429,31.0354,18.9014,206726.0,1100.0,0.0,3514.0,0.2,97,84,9,0.2651675394961415,0.1392800979895149,0.2196283341670269
2024,Chagai,19,0.0,31.0009,16.095,273217.0,919.0,0.0,44748.0,0.2,45,246,3,0.8645419020311486,0.0355909681453117,0.8124957977729028
2024,Chaman,19,,,,0.0,1340.0,0.0,1341.0,0.2,0,212,1,,,
2024,Dera Bugti,19,0.0,34.2475,17.6827,378394.0,250.0,0.0,10160.0,0.2,181,37,2,0.4605056747286375,0.0832533722262855,0.4197526703737465
2024,Duki,19,,,,0.0,1100.0,0.0,4233.0,0.2,10,8,10,,,
2024,Gwadar,19,0.0,28.15,84.6678,317947.0,12.0,0.0,12637.0,0.35,58,821,0,0.6843388308659496,0.0425618404516232,0.6560450973839527
2024,Harnai,19,,,,0.0,,,,,47,10,4,,,
2024,Hub,19,0.0,30.193,68.5895,461810.0,,,,,206,62,17,,,
2024,Jaffarabad,19,,,,621388.0,55.0,1.0,1643.0,0.2,912,117,27,0.6645536191317363,0.0926824170750581,0.6443954776649485
2024,Jhal Magsi,19,,,,180130.0,60.0,0.0,3615.0,0.2,267,84,12,0.7734716668141888,0.0821896806000777,0.7678285860851892
2024,Kachhi (Bolan),19,0.0,31.3834,16.2128,417079.0,,,,,125,50,0,,,
2024,Kalat,19,0.0286,21.1848,25.9032,498077.0,2000.0,0.0,7654.0,0.2,31,4,0,0.2659373118494831,0.0768088193522032,0.2408082539460854
2024,Kech (Turbat),19,,,,1098914.0,,,,,175,865,175,,,
2024,Kharan,19,0.0,31.4872,18.0412,188592.0,700.0,0.0,14958.0,0.2,48,358,0,0.6895685673754249,0.0415358924463597,0.6851575491747839
2024,Khuzdar,19,0.0,28.3121,21.6807,969559.0,1237.0,0.0,35380.0,0.2,53,38,2,0.107193421152683,0.0746074884105538,0.0715214164149161
2024,Killa Saifullah,19,0.2714,24.6933,24.0942,413453.0,1500.0,0.0,6831.0,0.2,187,1,0,0.5626551938730653,0.0817043766625553,0.5181523280222479
2024,Kohlu,19,0.1286,29.2094,20.9391,258710.0,1000.0,0.0,7610.0,0.2,165,482,1,0.1761327356105901,0.109535798371934,0.1492510681139275
2024,Lasbella,19,0.0143,29.0636,72.0879,697550.0,,,,,526,127,1,,,
2024,Loralai,19,0.0429,25.8853,21.7509,479944.0,1400.0,0.0,3785.0,0.2,49,300,5,0.2564372813224954,0.1324614699573111,0.216292347526038
2024,Mastung,19,0.1286,23.1331,23.611,321574.0,1700.0,0.0,3308.0,0.2,38,127,0,0.3642829677659042,,0.3341039896831323
2024,Naseerabad,19,0.0,36.8929,18.4804,592374.0,,,,,348,11,139,,,
2024,Nushki,19,0.0,29.411,16.4844,0.0,900.0,0.0,5797.0,0.2,6,25,0,,,
2024,Panjgur,19,0.0,29.749,21.0125,382021.0,900.0,0.0,16891.0,0.2,190,103,0,0.4533986164718446,0.0469589286823294,0.4354689364060997
2024,Pishin,19,0.1143,22.3593,30.387,889769.0,1550.0,0.0,6218.0,0.2,14,222,2,0.5693794418665086,0.0789309612320485,0.5526092992056636
2024,Quetta,19,0.1286,23.1346,26.4541,2751515.0,1680.0,0.0,3447.0,0.75,22,757,0,0.4710399127390819,0.0730482780681765,0.4328071190694471
2024,Sherani,19,,,,0.0,1500.0,0.0,2700.0,0.2,19,63,0,,,
2024,Sibi,19,0.0,34.3513,22.2499,163205.0,130.0,0.0,7121.0,0.2,327,424,2,0.1707727725917757,0.1165338390220715,0.1564153767870849
2024,Sohbat pur,19,0.0,36.8297,18.5171,241785.0,,,,,591,15,6,,,
2024,Surab,19,0.0,22.2848,24.5076,0.0,,,,,10,95,0,,,
2024,Usta Muhammad,19,0.0,36.543,18.0624,314321.0,,,,,446,116,2,,,
2024,Washuk,19,0.0,25.9786,21.3242,212771.0,700.0,0.0,33093.0,0.2,10,102,0,,,
2024,Zhob,19,0.3571,25.2605,27.2185,374767.0,1400.0,0.0,20297.0,0.2,46,176,0,0.5719953544722841,0.0983015159902982,0.4338412436453353
2024,Ziarat,19,,,,0.0,2400.0,0.0,3301.0,0.2,49,223,0,0.1104921201707519,,0.1075009250817982
2024,Abbottabad,19,0.9143,22.7533,48.1825,1611498.0,1256.0,0.0,1967.0,0.75,4,518,16,0.1410771017821588,0.3625330674338531,
2024,Bajaur,19,1.5,20.3196,47.7059,1321356.0,900.0,0.0,1290.0,0.2,85,145,10,0.0150087239789991,0.2840882014048661,
2024,Bannu,19,0.3286,29.4901,37.1454,1410816.0,312.0,1.0,1227.0,0.2,1316,763,23,0.426982190436124,0.1638558904906511,0.3726560089748983
2024,Battagram,19,2.3857,21.9799,51.0694,575449.0,1036.0,0.0,1301.0,0.2,0,96,0,,,
2024,Buner,19,1.3143,25.2705,47.9728,1084406.0,700.0,0.0,1865.0,0.35,216,338,0,0.0146072703757849,0.3272287586615625,
2024,Charsadda,19,0.0429,27.351,49.2742,1953624.0,300.0,2.0,996.0,0.2,183,586,1,0.0642786920352797,0.2540082795354705,
2024,Chitral Lower,19,1.4571,15.5577,43.7133,336081.0,1500.0,1.0,6458.0,0.35,3,178,2,0.3175194272451247,-0.0017530261107548,0.0
2024,Chitral Upper,19,1.4571,15.5577,43.7133,204308.0,2500.0,1.0,8392.0,0.2,3,78,1,0.3175194272451247,-0.0017530261107548,0.0
2024,D.I. Khan,19,0.0,31.1725,38.6148,2050338.0,,,,,258,2208,88,,,
2024,Dir Lower,19,0.3571,28.3206,40.8809,1734809.0,800.0,1.0,1583.0,0.35,324,890,8,,,
2024,Dir Upper,19,1.7857,18.7202,47.0914,1143644.0,1200.0,1.0,3699.0,0.35,8,346,7,,,
2024,Hangu,19,0.2429,24.9062,44.8502,627433.0,900.0,0.0,1097.0,0.2,11,6,0,0.09370688506808,0.2457188292414008,0.0684644839296189
2024,Haripur,19,0.6286,25.1625,54.1895,1212553.0,605.0,2.0,1725.0,0.65,17,1206,16,0.2425883085721326,0.258535842461329,
2024,Karak,19,0.6429,28.4354,39.0067,853502.0,500.0,0.0,3372.0,0.2,136,277,41,0.3712437542825028,0.1630463365873708,0.406408561230491
2024,Khyber,19,0.2714,25.7835,42.2355,1193210.0,1000.0,0.0,2576.0,0.2,126,265,2,0.0524599714960187,0.2455671436547444,0.0227532675447931
2024,Kohat,19,0.0,28.8403,32.4643,1200463.0,500.0,0.0,2545.0,0.65,66,65,0,0.2149013867560057,0.2082026898478162,0.0288246393999053
2024,Kohistan Lower,19,0.0143,-1.0507,81.9354,244203.0,1500.0,2.0,1200.0,0.2,1,108,2,0.3456752635633175,0.0871719521573025,
2024,Kohistan Upper,19,0.0143,-1.0507,81.9354,369931.0,2500.0,2.0,4000.0,0.2,3,482,0,0.3456752635633175,0.0871719521573025,
2024,Kolai Palas,19,0.0143,-1.0507,81.9354,331246.0,,,,,6,64,0,,,
2024,L & C Kurram,19,1.3571,13.7217,61.5458,604463.0,,,,,6,6,0,,,
2024,Lakki Marwat,19,0.1143,28.8989,43.0741,1059019.0,250.0,1.0,3164.0,0.2,129,717,6,0.7487808608062138,0.126505438428523,0.6410732284149927
2024,Malakand,19,0.8286,25.8013,42.6073,870427.0,700.0,1.0,952.0,0.2,12,621,20,0.0207349875740124,0.2682462514488276,
2024,Mansehra,19,1.6571,21.9401,52.4283,1881089.0,1000.0,0.0,4579.0,0.2,3,599,3,0.1456202271873471,0.2180496583822884,
2024,Mardan,19,0.0571,26.1886,52.5797,2868781.0,300.0,0.0,1632.0,0.65,5,477,0,0.050307656325158,0.2535435438380392,
2024,Mohmand,19,0.8286,25.8013,42.6073,563359.0,600.0,0.0,2296.0,0.2,141,199,3,0.0890219935503785,0.20510722697913,0.0651871628010456
2024,North Waziristan,19,3.0429,11.2693,60.2834,656447.0,1000.0,1.0,4707.0,0.2,0,73,0,0.1687487553859418,0.1793666727278613,0.0697997566580447
2024,Nowshera,19,0.3571,28.379,40.8964,1835149.0,280.0,2.0,1748.0,0.65,60,2139,24,0.195291612089959,0.2134298017264619,
2024,Orakzai,19,0.4571,23.0879,47.8828,307067.0,1200.0,0.0,1538.0,0.2,25,42,0,0.0147104499454074,0.3352275513557751,0.0154848573321152
2024,Peshawar,19,0.0,27.0127,46.5256,5160904.0,330.0,0.0,1257.0,0.75,40,4018,41,0.0839114355171846,0.2255814510904314,
2024,SD Peshawar,19,,,,0.0,,,,,2,1,0,,,
2024,SD Tank,19,0.1143,29.9681,37.8547,604463.0,,,,,35,20,0,,,
2024,Shangla,19,2.1714,17.9244,43.5676,915157.0,2000.0,2.0,1586.0,0.35,318,392,3,0.0284299941519754,0.3678487125838292,
2024,SWA,19,,,,0.0,,,,,77,76,0,,,
2024,Swabi,19,0.0714,25.6569,57.784,1963296.0,340.0,2.0,1543.0,0.65,39,1737,88,0.1310299345156814,0.2574384421296779,
2024,Swat,19,1.0,22.3173,52.7422,2791410.0,980.0,1.0,5337.0,0.35,14,2153,13,0.3145912254754626,0.1632391883555072,
2024,Tank,19,0.1143,29.9681,37.8547,472690.0,250.0,0.0,1679.0,0.2,37,274,10,0.6719433634435599,0.1406793536055552,0.5561063783826732
2024,Tor Ghar,19,1.1,25.7847,54.8165,206726.0,,,,,32,84,0,,,
